ID,pollutant name,,,,,
1,Total Gaseous Hydrocarbons,,,,,
2,Carbon Monoxide (CO),,,,,
3,Oxides of Nitrogen (NOx),,,,,
5,Methane (CH4),,,,,
6,Nitrous Oxide (N2O),,,,,
20,Benzene,,,,,
21,Ethanol,,,,,
23,Naphthalene particle,,,,,
24,"1,3-Butadiene",,,,,
25,Formaldehyde,,,,,
26,Acetaldehyde,,,,,
27,Acrolein,,,,,
30,Ammonia,,,,,
31,Sulfur Dioxide (S02),,,,,
32,Nitrogen Oxide (NO),,,,,
33,Nitrogen Dioxide (N02),,,,,
34,Nitrous Acid (HONG),,,,,
35,Nitrate (NO3),,,,,
36,Ammonium (NH4),,,,,
40,"2,2,4-Trimethylpentane",,,,,
41,Ethyl Benzene,,,,,
42,Hexane,,,,,
43,Propionaldehyde,,,,,
44,Styrene,,,,,
45,Toluene,,,,,
46,Xylene,,,,,
51,Chloride,,,,,
52,Sodium,,,,,
53,Potassium,,,,,
54,Magnesium,,,,,
55,Calcium,,,,,
56,Titanium,,,,,
57,Silicon,,,,,
58,Aluminum,,,,,
59,Iron,,,,,
60,Mercury Elemental Gaseous,,,,,
61,Mercury Divalent Gaseous,,,,,
62,Mercury particulate,,,,,
63,Arsenic compounds,,,,,
65,chromium 6+,,,,,
66,Manganese Compounds,,,,,
67,Nickel Compounds,,,,,
68,"Dibenzo(a,h)anthracene particle",,,,,
69,Fluoranthene particle,,,,,
70,Acenaphthene particle,,,,,
71,Acenaphthylene particle,,,,,
72,Anthracene particle,,,,,
73,Benz(a)anthracene particle,,,,,
74,Benzo(a)pyreneparticle,,,,,
75,Benzo(b)fluoranthene particle,,,,,
76,"Benzo(g,h,i)perylene particle",,,,,
77,Benzo(k)fluorantheneparticle,,,,,
78,Chrysene particle,,,,,
79,Non-Methane Hydrocarbons,,,,,
80,Non- Methane Organic Gases,,,,,
81,"Indeno(1 2,3,c,d) pyrene particle",,,,,
82,Phenanthrene particle,,,,,
84,Pyrene particle,,,,,
86,Total Organic Gases,,,,,
87,Volatile Organic Compounds,,,,,
88,NonHAPTOG,,,,,
90,Atmospheric C02,,,,,
91,Total Energy Consumption,,,,,
92,Petroleum Energy Consumption,,,,,
93,Fossil Fuel Energy Consumption,,,,,
98,C02 Equivalent,,,,,
99,Braye Specific Fuel Consumetlon {B.SFC).,,,,,
100,Primary Exhaust PM 10 - Total,,,,,
106,Primary PM 10 - Brakewear particulate,,,,,
107,Primary PM 10 - Tirewear Particulate,,,,,
110,Primary Exhaust PM2.5 - Total,,,,,
111,Organic Carbon,,,,,
112,Elemental Carbon,,,,,
115,sulfate particulate,,,,,
116,Primary PM2.5 - Brakewear Particulate,,,,,
117,Primary PM2.5 - Tirewear Particulate,,,,,
118,Composite - NonECPM,,,,,
119,H2O (aerosol),,,,,
121,CMAQ5.0 Unspeciated (PMOTHR),,,,,
122,Non-carbon Organic Matter (NCOM),,,,,
123,Total Organic Matter (TOM),,,,,
124,Residual PM (NonECNonSO4NonOM),,,,,
130,"1,2,3,7,8,9-Hexachlorodibenzo-p-Dioxin",,,,,
131,Octachlorodibenzo-p-dioxin,,,,,
132,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-Dioxin",,,,,
133,Octachlorodibenzofuran,,,,,
134,"1,2,3,4,7,8-Hexachlorodibenzo-p-Dioxin",,,,,
135,"1,2,3,7,8-Pentachlorodibenzo-p-Dioxin",,,,,
136,"2,3,7,8-Tetrachlorodibenzofuran",,,,,
137,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",,,,,
138,"2,3,4,7,8-Pentachlorodibenzofuran",,,,,
139,"1,2,3,7,8-pentachlorodibenzofuran",,,,,
140,"1,2,3,6,7,8-Hexachlorodibenzofuran",,,,,
141,"1,2,3,6,7,8-Hexachlorodibenzo-p-Dioxin",,,,,
142,"2,3,7,8-Tetrachlorodibenzo-p-Dioxin",,,,,
143,"2,3,4,6,7,8-Hexachlorodibenzofuran",,,,,
144,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",,,,,
145,"1,2,3,4,7,8-Hexachlorodibenzofuran",,,,,
146,"1,2,3,7,8,9-Hexachlorodibenzofuran",,,,,
168,"Dibenzo(a,h)anthracene gas",,,,,
169,Fluoranthene gas,,,,,
170,Acenaphthene gas,,,,,
171,Acenaphthylene gas,,,,,
172,Anthracene gas,,,,,
173,Benz(a)anthracene gas,,,,,
174,Benzo(a)pyrene gas,,,,,
175,Benzo(b)fluoranthene gas,,,,,
176,"Benzo(g,h,i)perylene gas",,,,,
177,Benzo(k) fluoranthene gas,,,,,
178,Chrysene gas,,,,,
181,Fluorene gas,,,,,
182,"Indeno(l,2,3,c,d)pyrene gas",,,,,
183,Phenanthrene gas,,,,,
184,Pyrene gas,,,,,
185,Naphthalene gas,,,,,
